Highest Offense Description,Latitude,Longitude,year
ASSAULT WITH INJURY,30.40172392,-97.61533655,2022
THEFT FROM PERSON,30.26766695,-97.73864757,2022
THEFT,30.26706762,-97.73933857,2022
HARASSMENT,30.26459903,-97.74442999,2022
BURGLARY OF RESIDENCE,30.26594926,-97.79431249,2022
DWI - DRUG RECOGNITION EXPERT,30.1760516,-97.78041029,2022
THEFT CATALYTIC CONVERTER,30.20723767,-97.68975159,2022
POSSESSION OF MARIJUANA,30.26665421,-97.73508807,2022
THEFT,30.26309809,-97.74405836,2022
BURGLARY OF RESIDENCE,30.21656061,-97.76746727,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.35093474,-97.75574913,2022
ROBBERY BY ASSAULT,30.27121573,-97.71274047,2022
BURGLARY OF VEHICLE,30.22983595,-97.79116981,2022
AUTO THEFT,30.14481967,-97.80300022,2022
BURGLARY OF RESIDENCE,30.20558298,-97.81884619,2022
BURGLARY OF VEHICLE,30.25120875,-97.71350206,2022
AUTO THEFT,30.16594943,-97.78080692,2022
AUTO THEFT,30.43176062,-97.76281719,2022
AUTO THEFT,30.31044012,-97.70636563,2022
FAMILY DISTURBANCE,30.20006461,-97.7566651,2022
BURGLARY OF VEHICLE,30.26061538,-97.73743987,2022
INJURY TO ELDERLY PERSON,30.21650543,-97.77433122,2022
THEFT BY SHOPLIFTING,30.16962853,-97.78711941,2022
HARASSMENT,30.35851476,-97.75042144,2022
THEFT CATALYTIC CONVERTER,30.28675444,-97.71956962,2022
THEFT,30.32380908,-97.71346153,2022
FRAUD - OTHER,30.18924757,-97.81652965,2022
AUTO THEFT,30.36436858,-97.71534117,2022
AUTO THEFT,30.35709994,-97.73131647,2022
AGG ASSAULT,30.32807597,-97.65731604,2022
THEFT OF TRAILER,30.4053694,-97.71135296,2022
THEFT,30.18759354,-97.76399741,2022
MAIL THEFT,30.19299708,-97.76505365,2022
AGG ASSAULT,30.27121573,-97.71274047,2022
DAMAGE CITY PROP,30.21814157,-97.66925133,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
AUTO THEFT,30.21058876,-97.71376454,2022
THEFT CATALYTIC CONVERTER,30.30743627,-97.72371348,2022
THEFT,30.27761289,-97.704407,2022
FRAUD - OTHER,30.27402493,-97.69016295,2022
IDENTITY THEFT,30.26293268,-97.69056168,2022
AUTO THEFT,30.28814778,-97.66136726,2022
THEFT OF TRAILER,30.23496305,-97.7183772,2022
BURGLARY OF VEHICLE,30.43022792,-97.74199003,2022
CRIMINAL MISCHIEF,30.19871518,-97.79971425,2022
THEFT BY SHOPLIFTING,30.26427596,-97.73390689,2022
THEFT FROM PERSON,30.40120965,-97.72289492,2022
BURGLARY OF VEHICLE,30.21742618,-97.6934092,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.32104847,-97.77354003,2022
THEFT FROM BUILDING,30.34111104,-97.71801442,2022
BURGLARY OF VEHICLE,30.20953921,-97.77324596,2022
FORGERY AND PASSING,30.25047708,-97.82662642,2022
THEFT FROM BUILDING,30.26373894,-97.74365146,2022
FRAUD - OTHER,30.31438116,-97.68749785,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.32104847,-97.77354003,2022
BURGLARY OF VEHICLE,30.37937174,-97.66474942,2022
CRED CARD ABUSE - OTHER,30.19736085,-97.86384523,2022
THEFT,30.31271446,-97.70742907,2022
CRIMINAL MISCHIEF,30.23120536,-97.88561603,2022
IDENTITY THEFT,30.3531166,-97.73371679,2022
DEBIT CARD ABUSE,30.19736085,-97.86384523,2022
AIRPORT - CRIMINAL TRESPASS,30.20200809,-97.6668813,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.22771827,-97.70117264,2022
BURGLARY OF RESIDENCE,30.30432344,-97.716726,2022
FAMILY DISTURBANCE,30.19310264,-97.74829608,2022
BURGLARY OF VEHICLE,30.43529881,-97.73039863,2022
AUTO THEFT,30.26568603,-97.74418856,2022
AUTO THEFT,30.37847151,-97.66246179,2022
AUTO THEFT,30.25788603,-97.80700704,2022
DISTURBANCE - OTHER,30.45051198,-97.81763246,2022
MAIL THEFT,30.24580327,-97.74838047,2022
THEFT-NO SUSPECT/FOLLOWUP,30.21973444,-97.70655236,2022
AUTO THEFT,30.4217629,-97.70039923,2022
CRIMINAL MISCHIEF,30.22592074,-97.77135487,2022
AGG ASSAULT,30.18465856,-97.76397732,2022
MAIL THEFT,30.43642703,-97.73341209,2022
THEFT FROM PERSON,30.26020456,-97.73793249,2022
DEADLY CONDUCT,30.12814559,-97.80067769,2022
HARASSMENT,30.34773242,-97.61725428,2022
POSS CONTROLLED SUB/OTHER,30.26379794,-97.69945708,2022
FRAUD - OTHER,30.25179754,-97.71593495,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.21537705,-97.73726222,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.27877743,-97.67195099,2022
FAMILY DISTURBANCE,30.22706738,-97.78015765,2022
THEFT,30.36764088,-97.71692706,2022
AUTO THEFT,30.43679351,-97.83820902,2022
AUTO THEFT,30.23746483,-97.74799867,2022
ASSAULT WITH INJURY,30.35875702,-97.69971832,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.23895001,-97.72075262,2022
HARASSMENT,30.35850633,-97.6999662,2022
DOC DISCHARGE GUN - PUB PLACE,30.36871033,-97.70372535,2022
MAIL THEFT,30.26505534,-97.74224105,2022
AUTO THEFT,30.25546606,-97.73889941,2022
HARASSMENT,30.27751011,-97.77281544,2022
BURGLARY OF VEHICLE,30.23764542,-97.82682645,2022
FAMILY DISTURBANCE,30.43087828,-97.76930587,2022
AUTO THEFT,30.43494008,-97.84006297,2022
CRIMINAL MISCHIEF,30.23153215,-97.787809,2022
ASSAULT WITH INJURY,30.26897661,-97.73853633,2022
BURGLARY OF VEHICLE,30.23791009,-97.78407428,2022
CRIMINAL MISCHIEF,30.25788603,-97.80700704,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.2619872,-97.73863229,2022
BURGLARY OF VEHICLE,30.39986155,-97.72287431,2022
DWI  .15 BAC OR ABOVE,30.32553016,-97.70469611,2022
FAMILY DISTURBANCE,30.37416585,-97.74872711,2022
BURGLARY OF VEHICLE,30.28984969,-97.74946367,2022
BURGLARY OF VEHICLE,30.12255119,-97.80288381,2022
BURGLARY OF VEHICLE,30.19440271,-97.7538463,2022
BURGLARY OF VEHICLE,30.38484371,-97.73747088,2022
BURGLARY OF VEHICLE,30.43529881,-97.73039863,2022
UNLAWFUL CARRYING WEAPON,30.26671242,-97.73891086,2022
THEFT,30.20200809,-97.6668813,2022
BURGLARY OF VEHICLE,30.27599901,-97.81718631,2022
BURGLARY OF VEHICLE,30.39888928,-97.73282843,2022
BURGLARY OF VEHICLE,30.35119727,-97.79608335,2022
DISTURBANCE - OTHER,,,2022
BURGLARY OF VEHICLE,30.32535265,-97.70757653,2022
AUTO THEFT,30.26374659,-97.71762611,2022
ASSAULT BY THREAT,30.4001873,-97.72645084,2022
BURGLARY OF VEHICLE,30.29246578,-97.72275227,2022
BURGLARY OF VEHICLE,30.1546666,-97.81601861,2022
EVADING VEHICLE,30.30179097,-97.64892252,2022
BURGLARY NON RESIDENCE,30.27877743,-97.67195099,2022
THEFT OF SERVICE,30.27749587,-97.7425504,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.21833487,-97.66215838,2022
THEFT-NO SUSPECT/FOLLOWUP,30.2526407,-97.73235099,2022
THEFT-NO SUSPECT/FOLLOWUP,30.23540184,-97.7234396,2022
MAIL THEFT,30.36263134,-97.73350791,2022
BURGLARY OF VEHICLE,30.43983151,-97.77928207,2022
BURGLARY OF VEHICLE,30.4340385,-97.69520764,2022
THEFT,30.45965235,-97.80913939,2022
VIOL STATE LAW - OTHER,30.32920834,-97.67472917,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
FAMILY DISTURBANCE,30.23507465,-97.73494311,2022
CRIMINAL MISCHIEF,30.4554496,-97.76805519,2022
DEBIT CARD ABUSE,30.22664294,-97.72105703,2022
THEFT BY SHOPLIFTING,30.30635266,-97.70916489,2022
BURGLARY OF VEHICLE,30.25952831,-97.74869734,2022
DATING DISTURBANCE,30.31489559,-97.71307903,2022
EVADING / FOOT,30.26849718,-97.74311508,2022
EVADING / VEHICLE PURSUIT,30.21198018,-97.71254246,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
DWI - DRUG RECOGNITION EXPERT,30.16834912,-97.78584905,2022
DWI  .15 BAC OR ABOVE,30.33257835,-97.70370824,2022
SMUGGLING ILLEGAL ALIEN,30.38734178,-97.6987853,2022
DWI,30.27356011,-97.69042918,2022
THEFT OF TRAILER,30.24316995,-97.7674698,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
BURGLARY OF VEHICLE,30.29729649,-97.74640861,2022
BURGLARY OF VEHICLE,30.37097716,-97.72801121,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.23205261,-97.72860737,2022
BURGLARY OF VEHICLE,30.37371656,-97.72557723,2022
THEFT,30.23201201,-97.77820573,2022
THEFT FROM AUTO,30.31954041,-97.77363393,2022
BURGLARY OF VEHICLE,30.24045361,-97.73802935,2022
BURGLARY OF VEHICLE,30.34050756,-97.71944184,2022
CRIMINAL MISCHIEF,30.34348658,-97.71433823,2022
