Highest Offense Description,Latitude,Longitude,year
IDENTITY THEFT,30.31603794,-97.75189764,2021
CRIMINAL TRESPASS,30.31420635,-97.70319448,2021
CRIMINAL MISCHIEF,30.27162434,-97.75744212,2021
DWI,30.23422117,-97.72043394,2021
AUTO THEFT,30.20472248,-97.6670027,2021
THEFT,30.4395497,-97.77908005,2021
BURGLARY OF VEHICLE,30.35581767,-97.61733741,2021
CRIMINAL TRESPASS,30.2162593,-97.7357406,2021
RAPE OF A CHILD,,,2021
AGG ASSAULT,30.19397502,-97.73040329,2021
FAMILY DISTURBANCE,30.19394123,-97.76344868,2021
FAMILY DISTURBANCE,30.24271748,-97.73059094,2021
VIOL CITY ORDINANCE - OTHER,30.32155165,-97.71429955,2021
DWI  .15 BAC OR ABOVE,30.36836575,-97.71835058,2021
HARASSMENT,30.44139787,-97.74748262,2021
FRAUD - OTHER,30.26438581,-97.74340598,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.2467915,-97.73835636,2021
